company,role,city,city_data_points,num_salaries,avg_salary,min_salary,max_salary,median_salary,p25_salary,p75_salary,p90_salary,fixed_pct,variable_pct,min_exp,max_exp,detail_url
Cint,Project Manager,Bangalore / Bengaluru (Karnataka),3,11,11.2L,9.0L,15.2L,11.0L,9.0L,12.2L,13.5L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/project-manager
Cint,Customer Success Representative,All India,9,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Customer Success Representative,Hyderabad / Secunderabad (Telangana),3,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Customer Success Representative,New Delhi (Delhi),2,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Customer Success Representative,Gurgaon / Gurugram (Haryana),2,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Customer Success Representative,Chennai (Tamil Nadu),2,9,10.4L,7.8L,14.2L,11.5L,6.8L,12.7L,14.6L,,,2,7,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-representative
Cint,Senior Project Manager,All India,6,6,12.6L,8.1L,17.0L,12.3L,10.1L,15.8L,17.0L,,,3,10,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-manager
Cint,Senior Project Manager,Mumbai (Maharashtra),2,6,12.6L,8.1L,17.0L,12.3L,10.1L,15.8L,17.0L,,,3,10,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-manager
Cint,Senior Project Manager,Hyderabad / Secunderabad (Telangana),2,6,12.6L,8.1L,17.0L,12.3L,10.1L,15.8L,17.0L,,,3,10,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-manager
Cint,Senior Project Manager,Gurgaon / Gurugram (Haryana),1,6,12.6L,8.1L,17.0L,12.3L,10.1L,15.8L,17.0L,,,3,10,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-manager
Cint,Senior Project Manager,Kalka (Haryana),1,6,12.6L,8.1L,17.0L,12.3L,10.1L,15.8L,17.0L,,,3,10,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-manager
Cint,Senior Analyst,All India,6,6,9.8L,6.4L,11.3L,10.0L,8.7L,10.0L,11.2L,,,2,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-analyst
Cint,Senior Analyst,New Delhi (Delhi),2,6,9.8L,6.4L,11.3L,10.0L,8.7L,10.0L,11.2L,,,2,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-analyst
Cint,Senior Analyst,Gurgaon / Gurugram (Haryana),2,6,9.8L,6.4L,11.3L,10.0L,8.7L,10.0L,11.2L,,,2,6,https://www.ambitionbox.com/salaries/cint-salaries/senior-analyst
Cint,Service Engineer,All India,6,6,18.7L,17.6L,19.8L,18.7L,17.6L,19.8L,19.8L,,,3,3,https://www.ambitionbox.com/salaries/cint-salaries/service-engineer
Cint,Service Engineer,New Delhi (Delhi),5,6,18.7L,17.6L,19.8L,18.7L,17.6L,19.8L,19.8L,,,3,3,https://www.ambitionbox.com/salaries/cint-salaries/service-engineer
Cint,Senior Project Analyst,All India,5,5,6.1L,3.6L,7.0L,6.0L,6.0L,6.0L,6.6L,,,2,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-analyst
Cint,Senior Project Analyst,Gurgaon / Gurugram (Haryana),4,5,6.1L,3.6L,7.0L,6.0L,6.0L,6.0L,6.6L,,,2,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-analyst
Cint,Senior Project Analyst,New Delhi (Delhi),1,5,6.1L,3.6L,7.0L,6.0L,6.0L,6.0L,6.6L,,,2,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-project-analyst
Cint,Technical Analyst,All India,5,5,7.8L,7.2L,9.0L,7.3L,7.2L,8.5L,8.8L,91%,9%,2,4,https://www.ambitionbox.com/salaries/cint-salaries/technical-analyst
Cint,Technical Analyst,New Delhi (Delhi),3,5,7.8L,7.2L,9.0L,7.3L,7.2L,8.5L,8.8L,91%,9%,2,4,https://www.ambitionbox.com/salaries/cint-salaries/technical-analyst
Cint,Analyst,All India,5,5,10.1L,8.7L,12.0L,9.9L,8.8L,9.9L,11.2L,,,2,4,https://www.ambitionbox.com/salaries/cint-salaries/analyst
Cint,Analyst,New Delhi (Delhi),2,5,10.1L,8.7L,12.0L,9.9L,8.8L,9.9L,11.2L,,,2,4,https://www.ambitionbox.com/salaries/cint-salaries/analyst
Cint,Analyst,Gurgaon / Gurugram (Haryana),2,5,10.1L,8.7L,12.0L,9.9L,8.8L,9.9L,11.2L,,,2,4,https://www.ambitionbox.com/salaries/cint-salaries/analyst
Cint,Analyst,Noida (Uttar Pradesh),1,5,10.1L,8.7L,12.0L,9.9L,8.8L,9.9L,11.2L,,,2,4,https://www.ambitionbox.com/salaries/cint-salaries/analyst
Cint,Senior Technical Analyst,All India,5,5,8.0L,7.5L,8.2L,8.0L,7.9L,8.1L,8.2L,,,3,3,https://www.ambitionbox.com/salaries/cint-salaries/senior-technical-analyst
Cint,IT Support Specialist,All India,5,5,7.4L,7.0L,7.9L,7.5L,7.3L,7.5L,7.7L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/it-support-specialist
Cint,IT Support Specialist,Noida (Uttar Pradesh),3,5,7.4L,7.0L,7.9L,7.5L,7.3L,7.5L,7.7L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/it-support-specialist
Cint,IT Support Specialist,Gurgaon / Gurugram (Haryana),2,5,7.4L,7.0L,7.9L,7.5L,7.3L,7.5L,7.7L,,,4,9,https://www.ambitionbox.com/salaries/cint-salaries/it-support-specialist
Cint,Customer Success Consultant,All India,4,4,13.1L,12.4L,14.7L,12.7L,12.4L,13.4L,14.2L,92%,8%,4,9,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-consultant
Cint,Customer Success Consultant,Gurugram (Haryana),2,4,13.1L,12.4L,14.7L,12.7L,12.4L,13.4L,14.2L,92%,8%,4,9,https://www.ambitionbox.com/salaries/cint-salaries/customer-success-consultant
Cint,Senior Quality Analyst,All India,4,4,11.4L,8.0L,16.0L,11.8L,8.0L,16.4L,17.9L,,,4,7,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-analyst
Cint,Senior Quality Analyst,Kanpur (Uttar Pradesh),2,4,11.4L,8.0L,16.0L,11.8L,8.0L,16.4L,17.9L,,,4,7,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-analyst
Cint,Senior Quality Analyst,Noida (Uttar Pradesh),1,4,11.4L,8.0L,16.0L,11.8L,8.0L,16.4L,17.9L,,,4,7,https://www.ambitionbox.com/salaries/cint-salaries/senior-quality-analyst
Cint,Program Manager,All India,4,4,19.0L,14.2L,20.0L,19.0L,18.0L,20.0L,20.0L,,,6,9,https://www.ambitionbox.com/salaries/cint-salaries/program-manager
Cint,Program Manager,Gurugram (Haryana),3,4,19.0L,14.2L,20.0L,19.0L,18.0L,20.0L,20.0L,,,6,9,https://www.ambitionbox.com/salaries/cint-salaries/program-manager
Cint,Operations Specialist,All India,4,4,13.4L,10.8L,18.7L,13.2L,10.8L,13.4L,13.5L,,,7,11,https://www.ambitionbox.com/salaries/cint-salaries/operations-specialist
Cint,Operations Specialist,Mumbai (Maharashtra),4,4,13.4L,10.8L,18.7L,13.2L,10.8L,13.4L,13.5L,,,7,11,https://www.ambitionbox.com/salaries/cint-salaries/operations-specialist
Cint,Project Analyst,All India,4,4,5.4L,5.0L,6.2L,5.1L,5.0L,5.4L,5.9L,,,1,4,https://www.ambitionbox.com/salaries/cint-salaries/project-analyst
Cint,Project Analyst,New Delhi (Delhi),3,4,5.4L,5.0L,6.2L,5.1L,5.0L,5.4L,5.9L,,,1,4,https://www.ambitionbox.com/salaries/cint-salaries/project-analyst
Cint,Project Analyst,Gurugram (Haryana),1,4,5.4L,5.0L,6.2L,5.1L,5.0L,5.4L,5.9L,,,1,4,https://www.ambitionbox.com/salaries/cint-salaries/project-analyst
Cint,Senior Survey Programmer,All India,4,4,11.2L,10.0L,13.0L,11.0L,10.0L,12.2L,12.7L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-survey-programmer
Cint,Senior Survey Programmer,Noida (Uttar Pradesh),3,4,11.2L,10.0L,13.0L,11.0L,10.0L,12.2L,12.7L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-survey-programmer
Cint,Senior Survey Programmer,New Delhi (Delhi),1,4,11.2L,10.0L,13.0L,11.0L,10.0L,12.2L,12.7L,,,4,5,https://www.ambitionbox.com/salaries/cint-salaries/senior-survey-programmer
Cint,Survey Programmer,All India,4,4,9.6L,8.0L,11.5L,9.4L,8.7L,10.5L,11.5L,92%,8%,1,5,https://www.ambitionbox.com/salaries/cint-salaries/survey-programmer
