Company,Department,City,Role,Salary
3M,Engineering - Software & QA,Bengaluru,Junior Data Engineer,₹18.6 L/yr - ₹20.6 L/yr
3M,Engineering - Software & QA,Bengaluru,National Technical Manager,₹24.9 L/yr - ₹27.5 L/yr
3M,Engineering - Software & QA,Bengaluru,Qa Performance Lead,₹12.7 L/yr - ₹14.1 L/yr
3M,Engineering - Software & QA,Bengaluru,Salesforce Technical Architect,₹35.2 L/yr - ₹38.9 L/yr
3M,Engineering - Software & QA,Bengaluru,Scrum Master Team Lead,₹16.5 L/yr - ₹18.2 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Full Stack Engineer,₹20.5 L/yr - ₹22.7 L/yr
3M,Engineering - Software & QA,Bengaluru,Technical Development Lead,₹53.8 L/yr - ₹59.5 L/yr
3M,Engineering - Software & QA,Bengaluru,Technical Lead 1,₹29.4 L/yr - ₹32.4 L/yr
3M,Engineering - Software & QA,Bengaluru,Front End Developer,₹14.7 L/yr - ₹16.2 L/yr
3M,Engineering - Software & QA,Bengaluru,SQA Analyst,₹16.1 L/yr - ₹17.8 L/yr
3M,Engineering - Software & QA,Bengaluru,Java Lead,₹37.2 L/yr - ₹41.1 L/yr
3M,Engineering - Software & QA,Bengaluru,IT Analyst,₹17.6 L/yr - ₹19.5 L/yr
3M,Engineering - Software & QA,Bengaluru,Developer,₹15.2 L/yr - ₹20.2 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Analyst,₹21.2 L/yr - ₹27.3 L/yr
3M,Engineering - Software & QA,Bengaluru,Senior Specialist,₹17.1 L/yr - ₹23.8 L/yr
3M,Engineering - Software & QA,Bengaluru,Lead Analyst,₹23.1 L/yr - ₹25.5 L/yr
3M,Engineering - Software & QA,Bengaluru,Engineer,₹6.3 L/yr - ₹9.3 L/yr
